R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5
89,66,24,166,126,51,242,202,167,217,11,50,191,101,80
60,117,166,242,242,240,217,146,85,191,89,52,115,23,2
191,42,69,240,240,242,3,140,115,115,68,41,103,115,127
217,217,217,166,166,166,115,115,115,38,38,38,13,13,13
137,140,129,88,89,82,38,38,35,63,64,59,114,115,106
166,3,47,217,164,4,191,107,4,89,43,2,51,52,32
